segment_id,duration_sec,target_words,new_length,rate_wpm,target_wpm,rate_deviation_pct,rate_status
03c737ae-285d-4501-9a55-b1f3c8bf102d,10.919,27,27,148.4,147.0,0.9,OK
a1485ba8-9b22-4b6a-bd42-06bc44ad8736,8.658,21,21,145.5,147.0,-1.0,OK
0fadf789-5c40-4e55-96e5-cd139a72812a,4.829,12,12,149.1,147.0,1.4,OK
53f00a92-4916-4c9b-bd21-09730918e221,12.111,30,30,148.6,147.0,1.1,OK
a58ed3b6-354b-416b-8066-a33f72a0058e,19.534,48,48,147.4,147.0,0.3,OK
66a9fcec-a8ae-4923-a289-5e461387f92c,5.726,14,14,146.7,147.0,-0.2,OK
160d745b-9da3-453e-84a0-22f5b33b754b,16.537,41,41,148.8,147.0,1.2,OK
b0575474-7fa2-4d5f-a274-6c79fef990a9,8.291,20,20,144.7,147.0,-1.5,OK
97cc78cb-c900-40a5-b31d-4701551bf93e,11.027,27,27,146.9,147.0,-0.1,OK
cf8e7f3f-3e79-4c5a-af47-568968b114cc,13.32,33,33,148.6,147.0,1.1,OK
9e2f82ec-4918-4e90-a302-13c1d856ba6c,6.718,16,16,142.9,147.0,-2.8,OK
e39b6bac-0052-4d3f-a42d-0b2be458f7fb,18.662,46,46,147.9,147.0,0.6,OK
4091d61d-9d73-48a5-a969-385e8d1202bd,10.149,25,25,147.8,147.0,0.5,OK
2703f8d2-e92e-4cc7-956a-e20a5e93f5c8,17.642,43,43,146.2,147.0,-0.5,OK
6ed3eeb1-9137-4049-bc70-67a8d1f18629,6.697,16,16,143.3,147.0,-2.5,OK
