segment_id,start,end,duration_sec,estimation_length,dst_text,dst_length,new_text,new_length
96ea4669-b240-4c37-8d46-b4f4c08f61f8,"00:00:00,568","00:00:07,088",6.52,16,"Les bougies artisanales se déclinent en plusieurs types, chacune offrant une expérience sensorielle unique et captivante.",16,Les bougies artisanales se déclinent en plusieurs types offrant une expérience sensorielle unique et toujours captivante.,16
3e59f988-1479-4b16-a977-f8b349fc4321,"00:00:07,512","00:00:27,001",19.489,48,"Chaque type de bougie artisanale possède des caractéristiques distinctes qui influencent son esthétique et sa fonctionnalité. Les artisans jouent avec diverses techniques et styles, créant des pièces uniques qui reflètent leur créativité. Cela enrichit leur art tout en répondant aux attentes variées des consommateurs, rendant chaque bougie spéciale.",48,"Chaque création artisanale révèle un soin du détail visible dans la cire et la mèche. Les contenants en verre, transparents, mettent en valeur les couleurs et les petites pastilles décoratives. Formes, tailles et modèles variés jouent avec la lumière pour créer des ambiances chaleureuses et des reflets subtils.",48
1d6ccf41-e4e1-445a-b498-456e40905609,"00:00:27,818","00:01:03,298",35.48,87,Les contenants en verre prisés pour leur transparence offrent une vue fascinante de la flamme ajoutant une dimension chaleureuse à l'ambiance d'un espace Ils permettent aux artisans d'explorer une multitude de possibilités créatives en expérimentant avec des formes des tailles et des designs variés Ainsi les bougies en verre transcendent leur fonction utilitaire pour devenir de véritables œuvres d'art enrichissant nos intérieurs.,62,"Ensuite, contenants en verre prisés pour leur transparence offrent une vue fascinante de la flamme et d'élégance subtile. Cette transparence met en valeur les couleurs la cire naturelle et parfois une petite pastille métallique décorative subtilement. Les artisans exploitent formes tailles et design variés afin de jouer avec lumière et reflets subtils. Ainsi les bougies en verre transcendent leur fonction utilitaire pour devenir de véritables œuvres d'art contemporaines élégantes. Elles enrichissent nos intérieurs en créant des ambiances chaleureuses et des points focaux esthétiques à contempler et uniques.",87
d0ccd464-deb3-4e64-ac57-bd1fe6f7bc6f,"00:01:04,168","00:01:26,304",22.136,54,L’argile matériau naturel confère une touche artisanale et authentique aux bougies Les contenants en argile retiennent efficacement la chaleur garantissant une combustion uniforme De plus ils diffusent progressivement les arômes enrichissant ainsi l’expérience olfactive Leur texture unique et leur couleur terreuse ajoutent une dimension esthétique à toute décoration intérieure alliant fonctionnalité et beauté .,53,"L'argile apporte une touche artisanale authentique, rappelant la cuillère en bois et la terre brute naturelle. Ces contenants retiennent la chaleur, assurent une combustion régulière et diffusent les parfums lentement pour mieux révéler les notes olfactives. Ensuite, les contenants en ciment ou plâtre proposent une esthétique moderne, simple et originale pour les intérieurs minimalistes.",54
7254ae99-50f1-402b-828e-e576d8c534e6,"00:01:27,154","00:01:36,704",9.55,23,"Ensuite, les contenants en ciment ou en plâtre, par leur esthétique moderne, apportent une touche contemporaine aux bougies, alliant ainsi créativité, simplicité et originalité.",24,Ensuite les contenants en ciment ou plâtre offrent une esthétique moderne apportant une touche contemporaine de simplicité et d'originalité aux intérieurs minimalistes chic.,23
87a60785-c1c9-4a58-9771-ba6a7df727a7,"00:01:37,377","00:02:00,803",23.426,57,"Ensuite, moules en silicone grâce à leur flexibilité permettent de créer des bougies aux formes variées et innovantes En expérimentant avec différentes techniques il est possible de concevoir des créations uniques qui apportent une touche personnelle à chaque espace Ces moules représentent donc une option idéale pour ceux qui souhaitent explorer l'art de la bougie artisanale.",56,"Ensuite, moules en silicone grâce à leur flexibilité permettent de créer des bougies aux formes variées et innovantes singulières. La souplesse du silicone aide aussi à démouler des textures complexes sans altérer les couleurs ni les détails fins. Ainsi en expérimentant avec des moules et des colorants chaque création devient une pièce expressive et personnelle et unique.",57
9dfb7f20-06da-4a7f-a720-c558c1e274bd,"00:02:01,691","00:02:20,093",18.402,45,Les moules en silicone offrent une grande liberté créative pour concevoir des bougies uniques alliant esthétique et fonctionnalité.,18,"Ensuite, moules en silicone offrent liberté créative pour concevoir des bougies uniques et raffinées esthétiques. Ils permettent d'allier esthétique et fonctionnalité tout en explorant textures parfums et couleurs différentes harmonieuses. Chaque création signale une intention artistique renforcée par le choix de moules et de mèches.",45
d14f8385-edd8-425d-8568-d65656db26f1,"00:02:20,483","00:02:45,254",24.771,61,"Ensuite, bougies en contenant bien qu'elles soient souvent perçues comme pratiques permettent d'explorer une multitude de possibilités créatives En les personnalisant avec des décorations et des parfums en harmonie avec un thème spécifique on peut transformer l'ambiance d'un espace Par exemple des senteurs de rose séchée évoquent une atmosphère florale apportant une touche d'élégance et de douceur à l'environnement.",59,"Ensuite, bougies en contenant souvent perçues comme pratiques offrent pourtant de vastes possibilités de personnalisation esthétique et olfactive très subtiles. En les décorant avec pipettes et éléments et en modulant parfums et colorants on obtient des ambiances sur mesure raffinées. Par exemple une senteur de rose séchée associée à une teinte douce peut instaurer une atmosphère élégante et apaisante et mémorable.",61
2fe98f6c-4961-4469-94d8-94d4d636dc17,"00:02:45,900","00:03:05,093",19.193,47,"Ensuite, bougies moulées en silicone se distinguent par leur créativité offrant des formes captivantes qui séduisent les passionnés d'artisanat En jouant avec les textures et les couleurs chaque création devient une expression artistique unique permettant ainsi de personnaliser des espaces tout en ajoutant une touche d'originalité.",46,"Ensuite, bougies moulées en silicone offrent créativité et formes captivantes qui séduisent les amateurs d'artisanat contemporain. En jouant avec textures et couleurs chaque création devient une expression artistique adaptée à différents espaces. Ces pièces invitent à la contemplation et à la personnalisation selon l'univers souhaité et unique.",47
4505055b-023a-4f07-997e-95f94d1772dd,"00:03:05,696","00:03:28,595",22.899,56,La véritable richesse de la fabrication artisanale réside dans la combinaison des parfums des couleurs et des formes Chaque bougie devient ainsi une œuvre unique reflet de la personnalité de son créateur En jouant avec ces éléments on peut éveiller des émotions créer des ambiances et transformer un simple objet en une véritable pièce d'art.,55,La véritable richesse de la fabrication artisanale naît de la combinaison des parfums des couleurs et des formes. Chaque bougie devient une œuvre unique reflet de la personnalité et de l'intention de son créateur attentif et engagé. En jouant habilement avec ces éléments on peut éveiller des émotions et valoriser balance fondoir et bain-marie du créateur.,56
